day;timestamp;product;bid_price_1;bid_volume_1;bid_price_2;bid_volume_2;bid_price_3;bid_volume_3;ask_price_1;ask_volume_1;ask_price_2;ask_volume_2;ask_price_3;ask_volume_3;mid_price;profit_and_loss
0;0;ASH_COATED_OSMIUM;9995;13;9992;21;;;10011;13;10013;21;;;10003.0;0.0
0;0;INTARIAN_PEPPER_ROOT;12013;25;;;;;12028;9;12031;25;;;12020.5;0.0
0;100;INTARIAN_PEPPER_ROOT;12012;22;;;;;12028;8;12031;22;;;12020.0;0.0
0;100;ASH_COATED_OSMIUM;9995;15;9992;26;;;10011;15;10013;26;;;10003.0;0.0
0;200;INTARIAN_PEPPER_ROOT;12015;9;12012;22;;;12031;22;;;;;12023.0;0.0
0;200;ASH_COATED_OSMIUM;9994;15;;;;;;;;;;;9994.0;0.0
0;300;ASH_COATED_OSMIUM;9994;12;9992;27;;;10013;27;;;;;10003.5;0.0
0;300;INTARIAN_PEPPER_ROOT;12015;8;;;;;12028;8;12031;23;;;12021.5;0.0
0;400;ASH_COATED_OSMIUM;10003;8;9994;12;9991;25;10010;12;10012;25;;;10006.5;0.0
0;400;INTARIAN_PEPPER_ROOT;12015;10;12012;15;;;12028;10;12031;15;;;12021.5;0.0
0;500;INTARIAN_PEPPER_ROOT;;;;;;;12027;9;12030;19;;;12027.0;0.0
0;500;ASH_COATED_OSMIUM;9994;11;9991;22;;;10010;11;;;;;10002.0;0.0
0;600;INTARIAN_PEPPER_ROOT;12014;11;12011;23;;;12030;23;;;;;12022.0;0.0
0;600;ASH_COATED_OSMIUM;9994;13;9991;25;;;10010;13;;;;;10002.0;0.0
0;700;ASH_COATED_OSMIUM;9994;11;9991;23;;;10012;23;;;;;10003.0;0.0
0;700;INTARIAN_PEPPER_ROOT;12014;9;12011;24;;;12027;9;12030;24;;;12020.5;0.0
0;800;ASH_COATED_OSMIUM;;;;;;;;;;;;;0.0;0.0
0;800;INTARIAN_PEPPER_ROOT;12014;8;12011;20;;;12027;8;;;;;12020.5;0.0
0;900;INTARIAN_PEPPER_ROOT;12010;25;;;;;12026;8;12029;25;;;12018.0;0.0
0;900;ASH_COATED_OSMIUM;9992;12;9990;21;;;10008;12;10011;21;;;10000.0;0.0
0;1000;INTARIAN_PEPPER_ROOT;12013;10;;;;;12026;10;12029;21;;;12019.5;0.0
0;1000;ASH_COATED_OSMIUM;9990;28;;;;;10009;14;10011;28;;;9999.5;0.0
0;1100;ASH_COATED_OSMIUM;9990;28;;;;;10009;13;;;;;9999.5;0.0
0;1100;INTARIAN_PEPPER_ROOT;12014;11;;;;;12027;11;12030;24;;;12020.5;0.0
0;1200;ASH_COATED_OSMIUM;9993;12;9991;28;;;10009;12;10012;28;;;10001.0;0.0
0;1200;INTARIAN_PEPPER_ROOT;12014;9;12011;22;;;12027;9;;;;;12020.5;0.0
0;1300;INTARIAN_PEPPER_ROOT;12013;12;12010;16;;;12026;12;12029;16;;;12019.5;0.0
0;1300;ASH_COATED_OSMIUM;9993;13;;;;;10009;13;10012;23;;;10001.0;0.0
0;1400;INTARIAN_PEPPER_ROOT;12013;10;12010;17;;;12026;10;12029;17;;;12019.5;0.0
0;1400;ASH_COATED_OSMIUM;9993;10;9990;24;;;10009;10;10011;24;;;10001.0;0.0
0;1500;ASH_COATED_OSMIUM;9992;12;9990;29;;;10008;12;10011;29;;;10000.0;0.0
0;1500;INTARIAN_PEPPER_ROOT;12013;11;12010;16;;;12026;11;12029;16;;;12019.5;0.0
0;1600;ASH_COATED_OSMIUM;9992;14;9990;23;;;10008;14;10011;23;;;10000.0;0.0
0;1600;INTARIAN_PEPPER_ROOT;12013;8;12010;23;;;12026;8;12029;23;;;12019.5;0.0
0;1700;INTARIAN_PEPPER_ROOT;12013;9;12010;15;;;12029;15;;;;;12021.0;0.0
0;1700;ASH_COATED_OSMIUM;9992;13;9990;24;;;10008;13;;;;;10000.0;0.0
0;1800;INTARIAN_PEPPER_ROOT;12012;9;12009;16;;;12028;16;;;;;12020.0;0.0
0;1800;ASH_COATED_OSMIUM;9992;13;;;;;10001;4;10010;28;;;9996.5;0.0
0;1900;ASH_COATED_OSMIUM;9992;15;9990;24;;;10008;15;10011;24;;;10000.0;0.0
0;1900;INTARIAN_PEPPER_ROOT;12012;10;;;;;12025;10;12028;25;;;12018.5;0.0
0;2000;ASH_COATED_OSMIUM;9991;22;;;;;10009;13;10012;22;;;10000.0;0.0
0;2000;INTARIAN_PEPPER_ROOT;12012;12;12009;22;;;12026;12;12029;22;;;12019.0;0.0
0;2100;INTARIAN_PEPPER_ROOT;12013;8;;;;;12026;8;12029;15;;;12019.5;0.0
0;2100;ASH_COATED_OSMIUM;9993;12;9991;25;;;10009;12;10012;25;;;10001.0;0.0
0;2200;INTARIAN_PEPPER_ROOT;12009;23;;;;;12028;23;;;;;12018.5;0.0
0;2200;ASH_COATED_OSMIUM;9991;29;;;;;10009;10;10012;29;;;10000.0;0.0
0;2300;INTARIAN_PEPPER_ROOT;12012;9;12009;25;;;12028;25;;;;;12020.0;0.0
0;2300;ASH_COATED_OSMIUM;9993;14;9991;20;;;10009;14;;;;;10001.0;0.0
0;2400;INTARIAN_PEPPER_ROOT;12012;8;;;;;12025;8;12028;22;;;12018.5;0.0
0;2400;ASH_COATED_OSMIUM;9993;10;9991;25;;;10009;10;10012;25;;;10001.0;0.0
0;2500;ASH_COATED_OSMIUM;9993;14;;;;;10009;14;;;;;10001.0;0.0
0;2500;INTARIAN_PEPPER_ROOT;12012;10;12009;15;;;12025;10;12028;15;;;12018.5;0.0
0;2600;ASH_COATED_OSMIUM;9993;13;9991;20;;;10009;13;10012;20;;;10001.0;0.0
0;2600;INTARIAN_PEPPER_ROOT;12011;8;12008;25;;;12024;8;12027;25;;;12017.5;0.0
0;2700;ASH_COATED_OSMIUM;9993;14;9991;29;;;10012;29;;;;;10002.5;0.0
0;2700;INTARIAN_PEPPER_ROOT;12011;11;12008;19;;;12014;8;12024;11;;;12012.5;0.0
0;2800;ASH_COATED_OSMIUM;9991;22;;;;;10009;11;10012;22;;;10000.0;0.0
0;2800;INTARIAN_PEPPER_ROOT;12011;12;12008;25;;;12024;12;12027;25;;;12017.5;0.0
0;2900;ASH_COATED_OSMIUM;;;;;;;10009;15;10012;21;;;10009.0;0.0
0;2900;INTARIAN_PEPPER_ROOT;12021;8;12011;12;;;12024;12;;;;;12022.5;0.0
0;3000;ASH_COATED_OSMIUM;9993;13;;;;;10009;13;;;;;10001.0;0.0
0;3000;INTARIAN_PEPPER_ROOT;12010;9;12007;21;;;12024;9;12027;21;;;12017.0;0.0
0;3100;ASH_COATED_OSMIUM;9994;10;9991;25;;;10010;10;10012;25;;;10002.0;0.0
0;3100;INTARIAN_PEPPER_ROOT;12011;11;12008;21;;;12024;11;;;;;12017.5;0.0
0;3200;INTARIAN_PEPPER_ROOT;12011;9;12008;25;;;12024;9;;;;;12017.5;0.0
0;3200;ASH_COATED_OSMIUM;9993;12;;;;;10009;12;10012;28;;;10001.0;0.0
0;3300;INTARIAN_PEPPER_ROOT;12011;10;12008;17;;;12027;17;;;;;12019.0;0.0
0;3300;ASH_COATED_OSMIUM;9993;12;9991;26;;;10012;26;;;;;10002.5;0.0
0;3400;INTARIAN_PEPPER_ROOT;12010;12;12007;24;;;12023;12;12026;24;;;12016.5;0.0
0;3400;ASH_COATED_OSMIUM;9993;11;;;;;10009;11;10012;25;;;10001.0;0.0
0;3500;INTARIAN_PEPPER_ROOT;12010;11;12007;25;;;12023;11;12026;25;;;12016.5;0.0
0;3500;ASH_COATED_OSMIUM;9993;10;9991;21;;;10009;10;10012;21;;;10001.0;0.0
0;3600;INTARIAN_PEPPER_ROOT;12010;10;;;;;12023;10;12026;22;;;12016.5;0.0
0;3600;ASH_COATED_OSMIUM;9993;10;9991;30;;;10009;10;10012;30;;;10001.0;0.0
0;3700;ASH_COATED_OSMIUM;9993;15;9991;24;;;10009;15;10012;24;;;10001.0;0.0
0;3700;INTARIAN_PEPPER_ROOT;12010;8;;;;;12026;25;;;;;12018.0;0.0
0;3800;INTARIAN_PEPPER_ROOT;12009;10;12006;19;;;12022;10;;;;;12015.5;0.0
0;3800;ASH_COATED_OSMIUM;9999;5;9993;13;9991;29;10009;13;10012;29;;;10004.0;0.0
0;3900;ASH_COATED_OSMIUM;9993;13;9991;26;;;10009;13;;;;;10001.0;0.0
0;3900;INTARIAN_PEPPER_ROOT;;;;;;;12022;9;12025;25;;;12022.0;0.0
0;4000;INTARIAN_PEPPER_ROOT;12009;12;12006;23;;;12023;12;12026;23;;;12016.0;0.0
0;4000;ASH_COATED_OSMIUM;9991;30;;;;;10012;30;;;;;10001.5;0.0
0;4100;ASH_COATED_OSMIUM;9998;3;9992;14;9990;25;10008;14;;;;;10003.0;0.0
0;4100;INTARIAN_PEPPER_ROOT;12007;25;;;;;12023;8;12026;25;;;12015.0;0.0
0;4200;INTARIAN_PEPPER_ROOT;12009;10;12006;19;;;12022;10;12025;19;;;12015.5;0.0
0;4200;ASH_COATED_OSMIUM;9993;10;;;;;10011;26;;;;;10002.0;0.0
0;4300;ASH_COATED_OSMIUM;9990;24;;;;;10009;12;10011;24;;;9999.5;0.0
0;4300;INTARIAN_PEPPER_ROOT;12009;11;12006;25;;;12025;25;;;;;12017.0;0.0
0;4400;INTARIAN_PEPPER_ROOT;12006;22;;;;;12022;10;12025;22;;;12014.0;0.0
0;4400;ASH_COATED_OSMIUM;9993;10;9990;22;;;10009;10;10011;22;;;10001.0;0.0
0;4500;ASH_COATED_OSMIUM;9990;26;;;;;10009;14;10011;26;;;9999.5;0.0
0;4500;INTARIAN_PEPPER_ROOT;12009;11;12006;15;;;12022;11;;;;;12015.5;0.0
0;4600;INTARIAN_PEPPER_ROOT;12008;9;12005;22;;;12021;9;12024;22;;;12014.5;0.0
0;4600;ASH_COATED_OSMIUM;9993;15;;;;;10011;21;;;;;10002.0;0.0
0;4700;ASH_COATED_OSMIUM;9993;14;;;;;10009;14;10011;27;;;10001.0;0.0
0;4700;INTARIAN_PEPPER_ROOT;12005;15;;;;;12021;12;;;;;12013.0;0.0
0;4800;INTARIAN_PEPPER_ROOT;12008;11;12005;21;;;12017;4;12021;11;12024;21;12012.5;0.0
0;4800;ASH_COATED_OSMIUM;9993;10;;;;;10011;28;;;;;10002.0;0.0
0;4900;ASH_COATED_OSMIUM;9993;15;9990;27;;;10009;15;;;;;10001.0;0.0
0;4900;INTARIAN_PEPPER_ROOT;12008;12;12005;16;;;12021;12;12024;16;;;12014.5;0.0
0;5000;INTARIAN_PEPPER_ROOT;12008;10;12005;23;;;12025;23;;;;;12016.5;0.0
0;5000;ASH_COATED_OSMIUM;9992;12;9990;29;;;10008;12;10011;29;;;10000.0;0.0
0;5100;ASH_COATED_OSMIUM;9993;11;9990;24;;;10009;11;;;;;10001.0;0.0
0;5100;INTARIAN_PEPPER_ROOT;12005;25;;;;;;;;;;;12005.0;0.0
0;5200;INTARIAN_PEPPER_ROOT;12008;12;12005;19;;;12021;12;;;;;12014.5;0.0
0;5200;ASH_COATED_OSMIUM;9993;15;;;;;10009;15;10011;29;;;10001.0;0.0
0;5300;ASH_COATED_OSMIUM;9993;15;9990;21;;;;;;;;;9993.0;0.0
0;5300;INTARIAN_PEPPER_ROOT;12008;8;12005;21;;;12021;8;12024;21;;;12014.5;0.0
0;5400;INTARIAN_PEPPER_ROOT;12008;8;12005;16;;;12024;16;;;;;12016.0;0.0
0;5400;ASH_COATED_OSMIUM;9993;14;9990;20;;;10009;14;10011;20;;;10001.0;0.0
0;5500;ASH_COATED_OSMIUM;9994;13;9991;28;;;10010;13;10012;28;;;10002.0;0.0
0;5500;INTARIAN_PEPPER_ROOT;12007;10;12004;24;;;12020;10;;;;;12013.5;0.0
0;5600;INTARIAN_PEPPER_ROOT;12007;11;;;;;12020;11;;;;;12013.5;0.0
0;5600;ASH_COATED_OSMIUM;9991;21;;;;;10009;14;10012;21;;;10000.0;0.0
0;5700;ASH_COATED_OSMIUM;9993;12;9991;29;;;10009;12;10012;29;;;10001.0;0.0
0;5700;INTARIAN_PEPPER_ROOT;12007;8;12004;19;;;12010;5;12023;19;;;12008.5;0.0
0;5800;INTARIAN_PEPPER_ROOT;12007;11;12004;22;;;;;;;;;12007.0;0.0
0;5800;ASH_COATED_OSMIUM;9994;10;;;;;10010;10;10012;28;;;10002.0;0.0
0;5900;ASH_COATED_OSMIUM;9993;15;9991;29;;;10009;15;10012;29;;;10001.0;0.0
0;5900;INTARIAN_PEPPER_ROOT;12006;10;12003;23;;;12019;10;12022;23;;;12012.5;0.0
0;6000;INTARIAN_PEPPER_ROOT;12003;19;;;;;12020;11;;;;;12011.5;0.0
0;6000;ASH_COATED_OSMIUM;9993;15;9990;30;;;10009;15;10011;30;;;10001.0;0.0
0;6100;ASH_COATED_OSMIUM;9990;28;;;;;10009;11;10011;28;;;9999.5;0.0
0;6100;INTARIAN_PEPPER_ROOT;12007;9;12004;22;;;12020;9;12023;22;;;12013.5;0.0
